,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,dist,sota,save%,cs,psxg,cmp,cmp,cmp,cmp,cmp%,cmp%,cmp%,cmp%,prgdist,ast,ppa,prog,sca,gca,tklw,int,tkl+int,err,succ,succ%,crdy,fls,won%,season,team
0,1/3/2023,19:45,Premier League,Matchweek 19,Tue,Home,,,,Newcastle Utd,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Arsenal
1,1/5/2023,20:00,Premier League,Matchweek 19,Thu,Away,,,,Chelsea,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Manchester City
2,1/3/2023,19:45,Premier League,Matchweek 19,Tue,Away,,,,Arsenal,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Newcastle United
3,1/4/2023,20:00,Premier League,Matchweek 19,Wed,Away,,,,Crystal Palace,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Tottenham Hotspur
4,1/3/2023,20:00,Premier League,Matchweek 19,Tue,Home,,,,Bournemouth,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Manchester United
7,5/1/2023,20:00,Premier League,Matchweek 19,Thu,Home,,,,Manchester City,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Chelsea
8,1/3/2023,19:45,Premier League,Matchweek 19,Tue,Away,,,,Leicester City,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Fulham
9,1/3/2023,19:45,Premier League,Matchweek 19,Tue,Away,,,,Everton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Brighton and Hove Albion
10,4/1/2023,20:00,Premier League,Matchweek 19,Wed,Home,,,,Tottenham,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Crystal Palace
11,4/1/2023,20:00,Premier League,Matchweek 19,Wed,Home,,,,Wolves,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Aston Villa
12,1/3/2023,19:45,Premier League,Matchweek 19,Tue,Home,,,,Fulham,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Leicester City
13,3/1/2023,20:00,Premier League,Matchweek 19,Tue,Away,,,,Manchester Utd,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Bournemouth
14,4/1/2023,19:45,Premier League,Matchweek 19,Wed,Home,,,,West Ham,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Leeds United
15,4/1/2023,19:45,Premier League,Matchweek 19,Wed,Away,,,,Leeds United,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,West Ham United
16,1/3/2023,19:45,Premier League,Matchweek 19,Tue,Home,,,,Brighton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Everton
17,4/1/2023,20:00,Premier League,Matchweek 19,Wed,Away,,,,Aston Villa,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Wolverhampton Wanderers
18,4/1/2023,19:30,Premier League,Matchweek 19,Wed,Away,,,,Southampton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Nottingham Forest
19,4/1/2023,19:30,Premier League,Matchweek 19,Wed,Home,,,,Nott'ham Forest,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Southampton
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
