,season,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,dist,sota,save%,cs,psxg,cmp,cmp,cmp,cmp,cmp%,cmp%,cmp%,cmp%,prgdist,ast,ppa,prog,sca,gca,tklw,int,tkl+int,err,succ,succ%,crdy,fls,won%,team
1,2022,1/15/2023,16:30,Premier League,Matchweek 20,Sun,Away,,,,Tottenham ,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsenal
2,2022,1/14/2023,20:30,Premier League,Matchweek 20,Sat,Away,,,,Manchester Utd,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester City
3,2022,1/14/2023,20:30,Premier League,Matchweek 20,Sat,Home,,,,Manchester City,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester United
4,2022,1/15/2023,16:30,Premier League,Matchweek 20,Sun,Home,,,,Arsenal,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tottenham Hotspur
5,2022,1/14/2023,23:00,Premier League,Matchweek 20,Sat,Away,,,,Brighton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool
6,2022,1/14/2023,23:00,Premier League,Matchweek 20,Sat,Home,,,,Liverpool,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brighton and Hove Albion
7,2022,1/14/2023,17:30,Premier League,Matchweek 20,Sat,Home,,,,Bournemouth,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brentford
8,2022,1/12/2023,20:00,Premier League,Matchweek 20,Thu,Away,,,,Fulham,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
9,2022,1/12/2023,20:00,Premier League,Matchweek 20,Thu,Home,,,,Chelsea,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulham
10,2022,1/13/2023,20:00,Premier League,Matchweek 20,Fri,Home,,,,Leeds United,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aston Villa
11,2022,1/14/2023,15:00,Premier League,Matchweek 20,Sat,Away,,,,Nott'ham Forest,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leicester City
12,2022,1/13/2023,20:00,Premier League,Matchweek 20,Fri,Away,,,,Aston Villa,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leeds United
13,2022,1/14/2023,15:00,Premier League,Matchweek 20,Sat,Home,,,,Leicester City,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nottingham Forest
14,2022,1/14/2023,17:30,Premier League,Matchweek 20,Sat,Away,,,,Brentford,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bournemouth
15,2022,1/14/2023,15:00,Premier League,Matchweek 20,Sat,Away,,,,Wolves,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Ham United
16,2022,1/14/2023,15:00,Premier League,Matchweek 20,Sat,Home,,,,Southampton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Everton
17,2022,1/14/2023,15:00,Premier League,Matchweek 20,Sat,Home,,,,West Ham,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolverhampton Wanderers
18,2022,1/14/2023,15:00,Premier League,Matchweek 20,Sat,Away,,,,Everton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southampton
